
=======================================================
  REPORTE DE CALIDAD — 2026-05-20 23:59:51
=======================================================
[CALIF] Resenas_Usuarios id=1 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=3 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=5 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=8 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=9 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=10 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=12 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=13 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=15 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=16 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=17 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=22 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=23 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=25 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=29 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=30 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=32 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=33 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=35 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=36 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=38 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=40 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=42 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=43 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=44 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=45 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=46 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=48 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=49 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=52 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=53 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=55 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=56 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=63 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=65 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=67 calificacion invalida: 'Cinco'
